attribute,group,n,positive_rate,roc_auc,precision,recall_tpr,false_negative_rate,false_positive_rate
sex,Female,508,0.3779527559055118,0.7744099419831223,0.5227963525835866,0.8958333333333334,0.10416666666666663,0.49683544303797467
sex,Male,373,0.4101876675603217,0.7922162804515746,0.549800796812749,0.9019607843137255,0.0980392156862745,0.5136363636363637
age_group,19-39,232,0.125,0.7536945812807881,0.3333333333333333,0.3793103448275862,0.6206896551724138,0.10837438423645318
age_group,40-59,249,0.37349397590361444,0.7739178384339674,0.49122807017543857,0.9032258064516129,0.09677419354838712,0.5576923076923077
age_group,60+,400,0.5575,0.650604241088394,0.5718085106382979,0.9641255605381166,0.0358744394618834,0.9096045197740112
education,9-11th grade/no diploma,56,0.5357142857142857,0.726923076923077,0.6086956521739131,0.9333333333333333,0.06666666666666665,0.6923076923076923
education,College graduate or above,307,0.2703583061889251,0.7623709122203098,0.40993788819875776,0.7951807228915663,0.20481927710843373,0.4241071428571429
education,High school/GED,193,0.46113989637305697,0.7651253241140882,0.5616438356164384,0.9213483146067416,0.0786516853932584,0.6153846153846154
education,Less than 9th grade,40,0.625,0.776,0.6857142857142857,0.96,0.040000000000000036,0.7333333333333334
education,Some college/AA,267,0.4419475655430712,0.7364918666818339,0.5729166666666666,0.9322033898305084,0.06779661016949157,0.5503355704697986
income_group,Higher income ratio,296,0.3310810810810811,0.7667491238919809,0.47928994082840237,0.826530612244898,0.173469387755102,0.4444444444444444
income_group,Lower income ratio,182,0.43956043956043955,0.7602941176470588,0.5772357723577236,0.8875,0.11250000000000004,0.5098039215686274
income_group,Middle income ratio,294,0.445578231292517,0.7844799325621692,0.5668202764976958,0.9389312977099237,0.06106870229007633,0.5766871165644172
income_group,Missing/not collected,109,0.3302752293577982,0.8245814307458144,0.49295774647887325,0.9722222222222222,0.02777777777777779,0.4931506849315068
