feature,display_name,mean_absolute_shap,mean_shap
age,Age (years),0.1029650942006454,0.0009332235880595563
waist_cm,Waist circumference (cm),0.05995695966716604,0.019386762679060733
bmi,BMI (kg/m²),0.03775366158892958,0.008251434735472482
mean_systolic_bp,Mean systolic BP (mmHg),0.03149702773812111,-0.00320842852443855
vigorous_activity_min_week,Vigorous activity (min/week),0.0216994024465514,0.003921038901671206
education,Education,0.021657644467592836,0.006558299456356953
income_ratio,Family income-to-poverty ratio,0.019226317870243793,0.005720397124342356
moderate_activity_min_week,Moderate activity (min/week),0.01815299045393886,-0.004549066842177593
mean_diastolic_bp,Mean diastolic BP (mmHg),0.00963845167961329,-0.0008244531171921335
sedentary_min_day,Sedentary time (min/day),0.007527599608368502,0.0013347327602458259
sex,Sex recorded by NHANES,0.006297964509163978,-0.0008777392165252171
current_smoking,Current smoking,0.005329136002011604,0.0030472364731590562
smoking_history,Smoking history,0.0049078647483507196,0.0005639430163785473
