feature,display_name,value,shap_value
sedentary_min_day,Sedentary time (min/day),600.0,-0.01015309801046671
moderate_activity_min_week,Moderate activity (min/week),30.0,-0.0019453610624300677
mean_diastolic_bp,Mean diastolic BP (mmHg),88.0,0.0002543344218959853
sex,Sex recorded by NHANES,Male,0.008148997130675628
current_smoking,Current smoking,Current,0.008583409794479108
smoking_history,Smoking history,Ever,0.008795089681528534
vigorous_activity_min_week,Vigorous activity (min/week),0.0,0.01487018036972726
education,Education,High school/GED,0.0171724590896713
income_ratio,Family income-to-poverty ratio,1.8,0.03375701512142326
mean_systolic_bp,Mean systolic BP (mmHg),145.0,0.04310601105301637
bmi,BMI (kg/m²),34.0,0.059084824916392165
age,Age (years),58.0,0.059201888457058316
waist_cm,Waist circumference (cm),112.0,0.07919041972032675
